Time (s), Geiger Counts (counts/sample)
1.000,0
2.000,5
3.000,3
4.000,6
5.000,3
6.000,2
7.000,4
8.000,4
9.000,2
10.000,1
11.000,5
12.000,4
13.000,2
14.000,4
15.000,3
16.000,3
17.000,4
18.000,0
19.000,3
20.000,3
21.000,0
22.000,3
23.000,1
24.000,4
25.000,3
26.000,8
27.000,1
28.000,4
29.000,2
30.000,4
31.000,0
