Time (s), Geiger Counts (counts/sample)
1,55
2,56
3,60
4,59
5,53
6,58
7,56
8,59
9,55
10,53
11,59
12,57
13,53
14,46
15,53
16,51
17,60
18,68
19,49
20,55
21,59
22,65
23,51
24,54
25,52
26,41
27,60
28,63
29,57
30,69
31,48
