Time (s), Geiger Counts (counts/sample)
1.000,125
2.000,107
3.000,137
4.000,130
5.000,134
6.000,121
7.000,118
8.000,118
9.000,112
10.000,130
11.000,131
12.000,121
13.000,117
14.000,139
15.000,133
16.000,131
17.000,125
18.000,121
19.000,118
20.000,129
21.000,137
22.000,131
23.000,134
24.000,117
25.000,150
26.000,159
27.000,112
28.000,121
29.000,127
30.000,117
