Time (s), Geiger Counts (counts/sample)
02/23/2026 03:47:27 pm,14
02/23/2026 03:47:27 pm,19
02/23/2026 03:47:27 pm,23
02/23/2026 03:47:27 pm,19
02/23/2026 03:47:28 pm,27
02/23/2026 03:47:28 pm,21
02/23/2026 03:47:28 pm,24
02/23/2026 03:47:28 pm,20
02/23/2026 03:47:28 pm,29
02/23/2026 03:47:29 pm,20
02/23/2026 03:47:29 pm,15
02/23/2026 03:47:29 pm,25
02/23/2026 03:47:29 pm,29
02/23/2026 03:47:29 pm,24
02/23/2026 03:47:30 pm,22
02/23/2026 03:47:30 pm,29
02/23/2026 03:47:30 pm,18
02/23/2026 03:47:30 pm,17
02/23/2026 03:47:30 pm,27
02/23/2026 03:47:31 pm,21
02/23/2026 03:47:31 pm,18
02/23/2026 03:47:31 pm,20
02/23/2026 03:47:31 pm,25
02/23/2026 03:47:31 pm,14
02/23/2026 03:47:32 pm,17
02/23/2026 03:47:32 pm,28
02/23/2026 03:47:32 pm,24
02/23/2026 03:47:32 pm,24
02/23/2026 03:47:32 pm,27
02/23/2026 03:47:33 pm,25
02/23/2026 03:47:33 pm,20
02/23/2026 03:47:33 pm,30
02/23/2026 03:47:33 pm,30
02/23/2026 03:47:33 pm,19
02/23/2026 03:47:34 pm,23
02/23/2026 03:47:34 pm,19
02/23/2026 03:47:34 pm,18
02/23/2026 03:47:34 pm,21
02/23/2026 03:47:34 pm,25
02/23/2026 03:47:35 pm,25
02/23/2026 03:47:35 pm,37
02/23/2026 03:47:35 pm,24
02/23/2026 03:47:35 pm,22
02/23/2026 03:47:35 pm,26
02/23/2026 03:47:36 pm,18
02/23/2026 03:47:36 pm,38
02/23/2026 03:47:36 pm,16
02/23/2026 03:47:36 pm,28
02/23/2026 03:47:36 pm,26
02/23/2026 03:47:37 pm,24
02/23/2026 03:47:37 pm,21
02/23/2026 03:47:37 pm,24
02/23/2026 03:47:37 pm,19
02/23/2026 03:47:37 pm,26
02/23/2026 03:47:38 pm,19
02/23/2026 03:47:38 pm,17
02/23/2026 03:47:38 pm,20
02/23/2026 03:47:38 pm,31
02/23/2026 03:47:38 pm,27
02/23/2026 03:47:39 pm,19
02/23/2026 03:47:39 pm,27
02/23/2026 03:47:39 pm,23
02/23/2026 03:47:39 pm,27
02/23/2026 03:47:39 pm,26
02/23/2026 03:47:40 pm,22
02/23/2026 03:47:40 pm,32
02/23/2026 03:47:40 pm,33
02/23/2026 03:47:40 pm,17
02/23/2026 03:47:40 pm,22
02/23/2026 03:47:41 pm,20
02/23/2026 03:47:41 pm,24
02/23/2026 03:47:41 pm,16
02/23/2026 03:47:41 pm,25
02/23/2026 03:47:41 pm,18
02/23/2026 03:47:42 pm,21
02/23/2026 03:47:42 pm,29
02/23/2026 03:47:42 pm,23
02/23/2026 03:47:42 pm,24
02/23/2026 03:47:42 pm,23
02/23/2026 03:47:43 pm,19
02/23/2026 03:47:43 pm,23
02/23/2026 03:47:43 pm,22
02/23/2026 03:47:43 pm,19
02/23/2026 03:47:43 pm,22
02/23/2026 03:47:44 pm,23
02/23/2026 03:47:44 pm,27
02/23/2026 03:47:44 pm,25
02/23/2026 03:47:44 pm,24
02/23/2026 03:47:44 pm,24
02/23/2026 03:47:45 pm,27
02/23/2026 03:47:45 pm,31
02/23/2026 03:47:45 pm,27
02/23/2026 03:47:45 pm,21
02/23/2026 03:47:45 pm,18
02/23/2026 03:47:46 pm,27
02/23/2026 03:47:46 pm,25
02/23/2026 03:47:46 pm,25
02/23/2026 03:47:46 pm,23
02/23/2026 03:47:46 pm,25
02/23/2026 03:47:47 pm,24
02/23/2026 03:47:47 pm,12
02/23/2026 03:47:47 pm,21
02/23/2026 03:47:47 pm,19
02/23/2026 03:47:47 pm,24
02/23/2026 03:47:48 pm,11
02/23/2026 03:47:48 pm,29
02/23/2026 03:47:48 pm,25
02/23/2026 03:47:48 pm,27
02/23/2026 03:47:48 pm,29
02/23/2026 03:47:49 pm,24
02/23/2026 03:47:49 pm,22
02/23/2026 03:47:49 pm,19
02/23/2026 03:47:49 pm,36
02/23/2026 03:47:49 pm,19
02/23/2026 03:47:50 pm,18
02/23/2026 03:47:50 pm,24
02/23/2026 03:47:50 pm,21
02/23/2026 03:47:50 pm,17
02/23/2026 03:47:50 pm,21
02/23/2026 03:47:51 pm,33
02/23/2026 03:47:51 pm,27
02/23/2026 03:47:51 pm,21
02/23/2026 03:47:51 pm,17
02/23/2026 03:47:51 pm,16
02/23/2026 03:47:52 pm,25
02/23/2026 03:47:52 pm,21
02/23/2026 03:47:52 pm,22
02/23/2026 03:47:52 pm,28
02/23/2026 03:47:52 pm,24
02/23/2026 03:47:53 pm,17
02/23/2026 03:47:53 pm,22
02/23/2026 03:47:53 pm,19
02/23/2026 03:47:53 pm,32
02/23/2026 03:47:53 pm,26
02/23/2026 03:47:54 pm,19
02/23/2026 03:47:54 pm,25
02/23/2026 03:47:54 pm,33
02/23/2026 03:47:54 pm,36
02/23/2026 03:47:54 pm,26
02/23/2026 03:47:55 pm,34
02/23/2026 03:47:55 pm,22
02/23/2026 03:47:55 pm,25
02/23/2026 03:47:55 pm,19
02/23/2026 03:47:55 pm,19
02/23/2026 03:47:56 pm,29
02/23/2026 03:47:56 pm,24
02/23/2026 03:47:56 pm,22
02/23/2026 03:47:56 pm,13
02/23/2026 03:47:56 pm,23
02/23/2026 03:47:57 pm,26
02/23/2026 03:47:57 pm,23
02/23/2026 03:47:57 pm,20
02/23/2026 03:47:57 pm,28
02/23/2026 03:47:57 pm,26
02/23/2026 03:47:58 pm,28
02/23/2026 03:47:58 pm,20
02/23/2026 03:47:58 pm,20
02/23/2026 03:47:58 pm,22
02/23/2026 03:47:58 pm,24
02/23/2026 03:47:59 pm,23
02/23/2026 03:47:59 pm,26
02/23/2026 03:47:59 pm,16
02/23/2026 03:47:59 pm,21
02/23/2026 03:47:59 pm,19
02/23/2026 03:48:00 pm,24
02/23/2026 03:48:00 pm,19
02/23/2026 03:48:00 pm,25
02/23/2026 03:48:00 pm,30
02/23/2026 03:48:00 pm,17
02/23/2026 03:48:01 pm,24
02/23/2026 03:48:01 pm,17
02/23/2026 03:48:01 pm,19
02/23/2026 03:48:01 pm,22
02/23/2026 03:48:01 pm,29
