Time (s), Geiger Counts (counts/sample)
1.000,0
2.000,0
3.000,1
4.000,0
5.000,0
6.000,1
7.000,0
8.000,0
9.000,2
10.000,0
11.000,1
12.000,0
13.000,0
14.000,1
15.000,0
16.000,0
17.000,0
18.000,2
19.000,0
20.000,0
21.000,0
22.000,0
23.000,0
24.000,2
25.000,0
26.000,0
27.000,1
28.000,0
29.000,0
30.000,0
